English	영어
German	독일어
Chinese	중국어
French	프랑스어
Italian	이탈리아어
Spanish	스페인어
Russian	러시아어
Korean	한국어
Polish	폴란드어
Japanese	일본어
Portuguese	포르투갈어(BR)

1089572441	캐릭터 선택
326908463	캐릭터 선택 취소
1593035469	모든 캐릭터 선택
720952508	모든 캐릭터 선택 취소
8814543	사용
1707401394	줍기
1228448906	시체 숨기기
974031510	아래로 점프
1570316501	점프
1281200264	장비 없음
1661399895	놓기
1970208064	조준
332063575	스킬 사용
1642445805	스킬 교체
979623826	표식 배치
1371401178	표식 제거
14277674	원뿔 시야 전환
1007288526	행동 전환
760226682	계획 실행
623490031	퀘스트 로그
1137813917	일시정지
341979071	계속
1020053951	빠른 저장
1985431665	웨이포인트 생성
1985552838	계획 초기화
735890781	취소
45909301	캐릭터 한 명이 죽었습니다.
1126684877	제임스 쿠퍼가 죽었습니다.
1767301141	케이크가 사무실에 가다가 체포되었습니다.
1804249882	목표를 제거할 다이너마이트가 남아 있지 않습니다.
1239789683	모든 목표를 동시에 처치해야 합니다.
1820626305	"그게 먹힐 줄 알았어? 참 웃기네!" - 이사벨
729436862	카메라 초기화
2004899354	카메라
1848829029	없음
1616150760	사용
417700520	처치
575344989	발사
964636690	이 저장 게임을 덮어쓰시겠습니까?
454694763	임무를 다시 시작하시겠습니까? 저장되지 않은 진행 상황은 모두 사라집니다.
1410384205	임무에서 나가시겠습니까? 저장되지 않은 진행 상황은 모두 사라집니다.
426906539	선택한 저장 게임 불러오기
1455108595	새 저장 게임 만들기
537819092	완료 시간:
1033428211	저장 횟수:
1389622243	불러온 횟수:
876575705	처치한 적:
663721942	살려준 적:
1332746099	처치한 시민:
1918849677	부상 횟수:
341645269	발각된 플레이어:
1712271163	발견한 시체:
1445260513	경보 횟수:
2046070127	최다 처치:
1305585010	최다 사망:
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0}초
1003502670	통계
1350143852	캐릭터
1519278145	처치:
1771961771	시간:
1898824317	메뉴
1808595989	빠른 저장
316165492	빠른 불러오기
553774258	{0} 건너뛰기
763728597	건너뛰기
